Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,  as a woman you should not complain about cleaning up your house as a man you should always take the trash out
1,3,0,3,0,1,  boy dats cold tyga dwn bad for cuffin dat hoe in the 1st place
2,3,0,3,0,1,  dawg you ever fuck a bitch and she start to cry you be confused as shit
3,3,0,2,1,1,  she look like a tranny
4,6,0,6,0,1,  the shit you hear about me might be true or it might be faker than the bitch who told it to ya
5,3,1,2,0,1,the shit just blows me claim you so faithful and down for somebody but still fucking with hoes
6,3,0,3,0,1,i can not just sit up and hate on another bitch i got too much shit going on
7,3,0,3,0,1,because i am tired of you big bitches coming for us skinny girls
8,3,0,3,0,1,you might not get ya bitch back that is that
9,3,1,2,0,1,hobbies include fighting mariam bitch
10,3,0,3,0,1,keeks is a bitch she curves everyone lol i walked into a conversation like this smh
11,3,0,3,0,1,
12,3,0,2,1,1,so hoes that smoke are losers yea go on ig
13,3,0,3,0,1,bad bitches is the only thing that i like
14,3,1,2,0,1,bitch get up off me
15,3,0,3,0,1,bitch nigga miss me with it
16,3,0,3,0,1,bitch plz whatever
17,3,1,2,0,1,bitch who do you love
18,3,0,3,0,1,bitches get cut off everyday b
19,3,0,3,0,1,black bottle a bad bitch
20,3,0,3,0,1,broke bitch cannot tell me nothing
21,3,0,3,0,1,cancel that bitch like nino
22,3,0,3,0,1,cannot you see these hoes will not change
23,3,0,3,0,1,fuck no that bitch do not even suck dick the kermit videos bout to fuck ig up
24,3,0,3,0,1,got ya bitch tip toeing on my hardwood floors
25,3,0,2,1,1,
26,3,0,3,0,1,hoe what its hitting for
27,3,0,3,0,1,i met that pussy on ocean dr i gave that pussy a pill
28,3,0,3,0,1,i need a trippy bitch who fuck on hennessy
29,3,0,3,0,1,i spend my money how i want bitch its my business
30,3,0,3,0,1,i txt my old bitch my new bitch pussy wetter
31,3,0,3,0,1,i would say i am back to the old me but my old bitches would get excited
32,3,0,3,0,1,if you are not bout that murder game pussy nigga shut up
33,3,0,3,0,1,if you are toes are not done you pussy stinks
34,3,0,3,0,1,i am done with bitter bitches its a wrap for that if you a angry bird there is a app for that
35,3,0,3,0,1,is that ya bitch
36,3,0,3,0,1,it are not nothing to cut a bitch off
37,3,0,3,0,1,jus meet son now he ya mane ass bitches shots
38,3,0,2,1,1,lames crying over hoes that is tears of a clown
39,3,0,3,0,1,
40,3,0,1,2,2,momma said no pussy cats inside my doghouse
41,3,0,3,0,1,most hated but the hoes favorite 2mw sevenone
42,3,0,3,0,1,nice girls bad make me get naughty bad yello hoe real nice body down south chick like them real thick
43,3,0,3,0,1,pimps up pimps up hoes down future voice
44,3,0,3,0,1,post a picture of that pussy get 200 likes
45,3,0,3,0,1,pussy is a powerful drug happyhumpday
46,3,0,3,0,1,quick piece of pussy call it a drive by
47,3,0,3,0,1,running round here like some brand new pussy that is bout to get fucked
48,3,0,3,0,1,these bitches even worst they will send them guys for you
49,3,1,2,0,1,these hoes like niggas that spend money not talk bout it
50,3,1,2,0,1,we do not trust these niggas all these bitches
51,3,0,3,0,1,you all niggas b cuffing hoes because you all are not never have bitches
52,3,0,3,0,1,you dodge a bullet all da bitches i cut off pregnant or bound to be thank god
53,3,0,3,0,1,young pill chamberlain these bitches love my music
54,3,0,2,1,1,teanna trump probably cleaner than most of these twitter hoes but
55,3,0,3,0,1,gay niggas could not wait to act like bitches tonight
56,3,0,3,0,1,and i am about to steal his cat n replace it with a pitbull he a bitch you should do it
57,3,0,3,0,1,he is gone always be a hoe
58,3,0,3,0,1,son of a bitch took my tic tacs i like this movie
59,3,0,3,0,1,all i want to do is get money and fuck model bitches russell simmons
60,3,0,2,1,1,i probably wouldn t mind school as much if we didn t have to deal with bitch ass teachers retweet
61,3,0,3,0,1,i am a fucking fag they said
62,3,0,3,0,1,females think dating a pussy is cute now how does doing this stuff make him a pussy
63,3,0,0,3,2,simplyaddictedtoguys woof woof hot scally lad
64,3,0,3,0,1,have ya ever asked your bitch for other bitches kanye voice yes
65,3,0,3,0,1,how you gone bring you are side bitch to a game where you know ya gf friends at i swear
66,3,0,1,2,2,
67,3,0,1,2,2,lemmie eat a oreo do these dishes one oreo lol
68,3,0,3,0,1,bitch fuck you maybe you will get better just
69,3,1,2,0,1,fuck red malone man bitch ass niggah could you please use complete sentences
70,3,0,0,3,2,why the eggplant emoji doe y he say she looked like scream lmao
71,3,0,3,0,1,hennessey venom gt that is one sexy bitch
72,3,0,3,0,1,him seh me pussy wetter then a shower curtain ahmesehwetness lmao
73,3,0,3,0,1,eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
74,3,1,2,0,1,yo fuck skateboarding all you all some wood pushing faggots man ball is life
75,3,0,1,2,2,baby monkey bathtime awwwwe this is soooo adorable
76,3,0,3,0,1,
77,3,1,2,0,1,you ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b 30 chance
78,3,0,3,0,1,0 rings 0 mvps 0 bitches lol
79,3,1,2,0,1,people talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn
80,9,0,7,2,1,the facts on tattoos tattoo he is a pussy with not tattooing them nipples
81,3,0,3,0,1,  bitches be wanting to act like niggas so bad that shit are not cuteeeee but niggas act like bitches
82,3,0,3,0,1,get worshiping bitch woof woof
83,3,1,2,0,1,wow i am lost are those buttcheek piercings yeah she is a hoe
84,3,0,3,0,1,ok sis she would rather be a broke bitch shrugs she will have to tell me how it works for her
85,3,2,1,0,0,
